Fecha,Nombre_Institución,Tipo_Institución,Municipio,Contrataciones_2años,Necesidad_Insatisfecha,Demanda_Futura,Dificultad_Contratación,Nivel_Formación,Competencias_Clínicas,Pensamiento_Crítico,Comunicación_Equipo,Liderazgo_Gestión,Humanización_Ética,Educación_Salud,Tecnología,Áreas_Demanda,Preparación_Actual,Aspectos_Mejorar,Remuneración,Retos_Región
2026-09-04 15:51:16,IPS JULIAN CERON,Institución prestadora de servicios ambulatorios o de especialidades,Jamundí,1 a 3,"Sí, tenemos algunas vacantes",Aumentará considerablemente,"Algo difícil, se requiere mucho tiempo",Profesional Universitario (Pregrado),3,3,3,3,3,3,3,"Salud Mental, Urgencias y Emergencias, Geriatría y Cuidados Paliativos","No, creo que hay una brecha entre la teoría y la práctica",Mejorar la formación en humanización y comunicación asertiva,Entre $3.200.000 y $4.000.000,Mayor formación en humanización de servicios de salud
2026-09-04 15:51:25,IPS JULIAN CERON,Institución prestadora de servicios ambulatorios o de especialidades,Jamundí,1 a 3,"Sí, tenemos algunas vacantes",Aumentará considerablemente,"Algo difícil, se requiere mucho tiempo",Profesional Universitario (Pregrado),3,3,3,3,3,3,3,"Salud Mental, Urgencias y Emergencias, Geriatría y Cuidados Paliativos","No, creo que hay una brecha entre la teoría y la práctica",Mejorar la formación en humanización y comunicación asertiva,Entre $3.200.000 y $4.000.000,Mayor formación en humanización de servicios de salud
